,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
0,1/1/2017,16009,50761,206624,1237,33
1,1/2/2017,8921,21545,206675,142,15
2,1/3/2017,14198,25879,206728,42,15
3,1/4/2017,34039,69966,206778,475,29
4,1/5/2017,28393,52446,206845,214,17
5,1/6/2017,24177,48964,206879,157,17
6,1/7/2017,4425,23556,206892,21,4
7,1/8/2017,6417,22756,206907,27,2
8,1/9/2017,15856,35209,206933,30,2
9,1/10/2017,23232,46216,206955,67,12
10,1/11/2017,32419,63099,206981,208,37
11,1/12/2017,39783,84763,207021,479,30
12,1/13/2017,33611,75847,207059,373,43
13,1/14/2017,13819,43090,207087,252,33
14,1/15/2017,17384,50738,207120,476,19
15,1/16/2017,24110,51664,207163,448,30
16,1/17/2017,18646,40697,207198,63,15
17,1/18/2017,30857,57978,207224,146,17
18,1/19/2017,36561,72077,207262,391,27
19,1/20/2017,26752,56479,207288,184,19
20,1/21/2017,26610,64662,207336,957,31
21,1/22/2017,20523,49368,207368,520,25
22,1/23/2017,15822,37687,207399,54,20
23,1/24/2017,13171,35619,207414,28,5
24,1/25/2017,36931,71418,207453,301,29
25,1/26/2017,33002,63750,207501,223,28
26,1/27/2017,32394,70189,207540,231,23
27,1/28/2017,21302,53955,207567,402,25
28,1/29/2017,22527,62854,207620,585,26
29,1/30/2017,29616,59975,207673,163,32
30,1/31/2017,25169,48684,207706,62,19
31,2/1/2017,35221,77639,207749,194,22
32,2/2/2017,34517,70727,207793,216,27
33,2/3/2017,29632,64701,207825,181,32
34,2/4/2017,19204,45120,207861,413,14
35,2/5/2017,20059,50532,207890,337,19
36,2/6/2017,33415,72513,207930,305,49
37,2/7/2017,23053,57760,207962,54,17
38,2/8/2017,40428,90430,208011,483,32
39,2/9/2017,0,0,208018,0,0
40,2/10/2017,1997,8344,208030,15,1
41,2/11/2017,8959,26272,208037,170,13
42,2/12/2017,5801,26468,208054,26,5
43,2/13/2017,23857,58710,208076,72,18
44,2/14/2017,29668,78530,208099,154,16
45,2/15/2017,32052,72383,208137,170,30
46,2/16/2017,29120,63551,208163,104,16
47,2/17/2017,28735,67530,208200,247,37
48,2/18/2017,30571,99126,208258,2078,114
49,2/19/2017,36963,125166,208347,3746,122
50,2/20/2017,32292,91412,208436,1512,75
51,2/21/2017,32643,84767,208516,308,48
52,2/22/2017,38119,90651,208594,439,36
53,2/23/2017,42434,98554,208658,828,88
54,2/24/2017,47031,117155,208767,1534,119
55,2/25/2017,33345,104309,208886,2035,77
56,2/26/2017,24713,75196,208966,849,33
57,2/27/2017,35984,80194,209035,388,42
58,2/28/2017,41835,92642,209119,504,60
59,3/1/2017,40592,85944,209229,393,51
60,3/2/2017,35739,73839,209310,320,44
61,3/3/2017,31105,68702,209370,292,39
62,3/4/2017,15646,43108,209404,252,14
63,3/5/2017,15919,50924,209451,312,22
64,3/6/2017,32467,72776,209536,321,39
65,3/7/2017,29683,63654,209587,181,29
66,3/8/2017,43470,101573,209656,694,55
67,3/9/2017,45251,99450,209728,764,34
68,3/10/2017,18412,41971,209758,95,15
69,3/11/2017,15185,48379,209781,183,27
70,3/12/2017,13442,38114,209799,167,9
71,3/13/2017,27417,58768,209827,205,14
72,3/14/2017,0,0,209843,0,0
73,3/15/2017,0,0,209859,0,0
74,3/16/2017,0,0,209870,0,0
75,3/17/2017,7098,25393,209888,151,15
76,3/18/2017,4106,17446,209910,93,6
77,3/19/2017,10550,33344,209943,339,21
78,3/20/2017,27378,60363,210002,288,21
79,3/21/2017,36824,78104,210073,479,47
80,3/22/2017,26927,55713,210121,140,15
81,3/23/2017,29885,74345,210160,291,25
82,3/24/2017,34019,82681,210199,485,39
83,3/25/2017,29647,86293,210267,1721,60
84,3/26/2017,19893,55139,210318,546,30
85,3/27/2017,26301,59614,210388,318,40
86,3/28/2017,21590,46003,210448,91,20
87,3/29/2017,42430,91525,210559,830,97
88,3/30/2017,39746,91041,210623,669,61
89,3/31/2017,6946,23462,210670,20,5
0,4/1/2017,23849,67299,210739,767,43
1,4/2/2017,39779,130087,210915,3639,58
2,4/3/2017,43484,104217,211075,970,68
3,4/4/2017,29990,63091,211171,183,23
4,4/5/2017,47635,108281,211310,1192,59
5,4/6/2017,18020,44411,211362,67,12
6,4/7/2017,35779,81358,211440,456,43
7,4/8/2017,35936,108886,211589,2719,83
8,4/9/2017,43895,137240,211806,4390,114
9,4/10/2017,50422,124356,212050,2164,139
10,4/11/2017,57309,150222,212298,2699,135
11,4/12/2017,51188,113959,212484,1493,108
12,4/13/2017,52915,131228,212648,2388,129
13,4/14/2017,52230,149382,212812,3451,273
14,4/15/2017,42531,134526,212950,3981,235
15,4/16/2017,48137,157912,213172,6143,361
16,4/17/2017,53247,127619,213385,2019,234
17,4/18/2017,53809,126129,213580,1624,194
18,4/19/2017,45788,97587,213703,738,55
19,4/20/2017,44260,108427,213819,1065,172
20,4/21/2017,39868,92348,213913,1194,129
21,4/22/2017,34596,101444,214028,5173,102
22,4/23/2017,49106,142563,214278,4541,420
23,4/24/2017,48692,103241,214462,1143,123
24,4/25/2017,20332,47829,214552,201,36
25,4/26/2017,37727,81859,214654,595,109
26,4/27/2017,52035,122394,214793,1412,266
27,4/28/2017,62199,163665,214965,2963,458
28,4/29/2017,57701,180290,215219,5699,562
29,4/30/2017,42928,125305,215455,2921,340
30,5/1/2017,56218,136675,215724,1813,311
31,5/2/2017,61205,142585,216017,1827,309
32,5/3/2017,59251,141936,216239,1537,247
33,5/4/2017,57428,144583,216436,1626,239
34,5/5/2017,24009,58278,216535,355,52
35,5/6/2017,46616,127879,216768,3349,363
36,5/7/2017,34293,90625,216928,1921,196
37,5/8/2017,51553,114260,217147,1230,253
38,5/9/2017,56461,118257,217341,1179,199
39,5/10/2017,58452,136080,217512,1362,225
40,5/11/2017,57208,135699,217673,1313,205
41,5/12/2017,56671,132477,217840,1784,189
42,5/13/2017,5704,28193,217905,117,0
43,5/14/2017,38729,114819,218120,2664,222
44,5/15/2017,54715,129870,218356,1279,185
45,5/16/2017,64504,157411,218690,1850,283
46,5/17/2017,65791,153500,219023,1864,241
47,5/18/2017,63753,149837,219304,1929,270
